battery_id,cycle,voltage,temperature,capacity,soh,rul,capacity_loss,cycle_squared,voltage_squared,temperature_squared,voltage_temp_interaction,capacity_per_cycle
B0005,1,3.532781069916797,32.536890917131714,1.8619764616792724,1.0,167,9.298480149144694e-05,1,12.48054208796247,1058.6492705533283,114.9457123059907,1.8619764616792724
B0005,2,3.5429679883355183,32.643595085177715,1.851862025854008,0.9945679034974788,166,0.00552457620159752,4,12.552622166370229,1065.6043000850386,115.6552124109713,0.925931012927004
B0005,3,3.5530561298298746,32.52252561728893,1.8408078298748616,0.9886310959133612,165,0.011460831752840628,9,12.624207861721647,1057.7146725272146,115.55435900205755,0.6136026099582872
B0005,4,3.5458485201697254,32.492082733461324,1.8500581719003597,0.9935991189876996,164,0.00649327062914129,16,12.573041727989832,1055.7354403580955,115.21200347767612,0.4625145429750899
B0005,5,3.544456056134174,32.368611575014725,1.8494324960696809,0.993263091200262,163,0.006829267171101772,25,12.563168733866224,1047.7270152941771,114.72912132571567,0.3698864992139362
B0005,6,3.555518011319956,32.25124161987058,1.8411378898424131,0.9888083591464604,162,0.01128358500252813,36,12.641708328820613,1040.142586023272,114.66987046688162,0.3068563149737355
B0005,7,3.550391740377309,32.36619211449594,1.8406214079526009,0.988530975462809,161,0.011560942893712456,49,12.605281510139418,1047.570391992459,114.91266115077157,0.2629459154218001
B0005,8,3.55743645121441,32.36748861666199,1.831163829566243,0.983451653258151,160,0.016639792798603503,64,12.655354104428975,1047.6543193497432,115.14528383918083,0.22889547869578036
B0005,9,3.5534969394692286,32.339648365008244,1.83954583513475,0.9879533243270472,159,0.012138540316698143,81,12.627340498817174,1045.8528563723805,114.91884148856784,0.2043939816816389
B0005,10,3.557887851734781,32.19118046612876,1.8300190765668485,0.9828368479569272,158,0.017254540932278517,100,12.658565965521934,1036.2720998028701,114.5326099134415,0.18300190765668484
B0005,11,3.556347543611306,32.06812817887519,1.8300015709380208,0.9828274463188356,157,0.017263941696160523,121,12.64760785095017,1028.3648448967692,114.04540887715528,0.16636377917618372
B0005,12,3.560471978306512,32.347660087219026,1.828990961908424,0.9822846848766824,156,0.017806652669749123,144,12.676960708305886,1046.3711131182629,115.17293730432732,0.15241591349236866
B0005,13,3.560356687760622,32.283606892877664,1.8190975953712152,0.9769713166677813,155,0.023119526816162028,169,12.676139744081786,1042.2312740138582,114.9411557060919,0.13993058425932425
B0005,14,3.566431185901457,32.015896045816774,1.8188055309107152,0.9768144594429392,154,0.023276369455666024,196,12.719431403770473,1025.0175996165462,114.18249010238009,0.1299146807793368
